,name,artist,id,duration,popularity,genres,playlist,features,created_at
99,'Party In The U.S.A.','Miley Cyrus',3E7dfMvvCLUddWissuqMwr,202066,79,"['dance pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.652, ""energy"": 0.698, ""key"": 10, ""loudness"": -4.667, ""mode"": 0, ""speechiness"": 0.042, ""acousticness"": 0.00112, ""instrumentalness"": 0.000115, ""liveness"": 0.0886, ""valence"": 0.47, ""tempo"": 96.021, ""type"": ""audio_features"", ""id"": ""3E7dfMvvCLUddWissuqMwr"", ""uri"": ""spotify:track:3E7dfMvvCLUddWissuqMwr"", ""track_href"": ""https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr"", ""duration_ms"": 202067, ""time_signature"": 4}",1668281546.97449
98,'Sugar','Maroon 5',6MAjQ2w7FdnXu3kHvgS81H,234000,37,['pop'],Hit Rewind,"{""danceability"": 0.729, ""energy"": 0.786, ""key"": 1, ""loudness"": -6.348, ""mode"": 1, ""speechiness"": 0.0337, ""acousticness"": 0.0747, ""instrumentalness"": 0, ""liveness"": 0.0878, ""valence"": 0.87, ""tempo"": 120.068, ""type"": ""audio_features"", ""id"": ""6MAjQ2w7FdnXu3kHvgS81H"", ""uri"": ""spotify:track:6MAjQ2w7FdnXu3kHvgS81H"", ""track_href"": ""https://api.spotify.com/v1/tracks/6MAjQ2w7FdnXu3kHvgS81H"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/6MAjQ2w7FdnXu3kHvgS81H"", ""duration_ms"": 234000, ""time_signature"": 4}",1668281546.445924
97,'Dancing On My Own','Calum Scott',2BOqDYLOJBiMOXShCV1neZ,260285,80,"['neo mellow', 'pop']",Hit Rewind,"{""danceability"": 0.681, ""energy"": 0.174, ""key"": 1, ""loudness"": -8.745, ""mode"": 1, ""speechiness"": 0.0315, ""acousticness"": 0.837, ""instrumentalness"": 3.35e-05, ""liveness"": 0.0983, ""valence"": 0.231, ""tempo"": 112.672, ""type"": ""audio_features"", ""id"": ""2BOqDYLOJBiMOXShCV1neZ"", ""uri"": ""spotify:track:2BOqDYLOJBiMOXShCV1neZ"", ""track_href"": ""https://api.spotify.com/v1/tracks/2BOqDYLOJBiMOXShCV1neZ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2BOqDYLOJBiMOXShCV1neZ"", ""duration_ms"": 260285, ""time_signature"": 4}",1668281545.91681
96,'7 Years','Lukas Graham',5kqIPrATaCc2LqxVWzQGbk,237300,79,"['danish pop', 'pop', 'scandipop']",Hit Rewind,"{""danceability"": 0.765, ""energy"": 0.473, ""key"": 10, ""loudness"": -5.829, ""mode"": 1, ""speechiness"": 0.0514, ""acousticness"": 0.287, ""instrumentalness"": 0, ""liveness"": 0.391, ""valence"": 0.34, ""tempo"": 119.992, ""type"": ""audio_features"", ""id"": ""5kqIPrATaCc2LqxVWzQGbk"", ""uri"": ""spotify:track:5kqIPrATaCc2LqxVWzQGbk"", ""track_href"": ""https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk"", ""duration_ms"": 237300, ""time_signature"": 4}",1668281545.384545
95,'Marvin Gaye (feat. Meghan Trainor)','Charlie Puth',3rKYiySCDMUKTw5kGVVhaa,190453,70,"['dance pop', 'pop', 'viral pop']",Hit Rewind,"{""danceability"": 0.795, ""energy"": 0.616, ""key"": 1, ""loudness"": -5.281, ""mode"": 0, ""speechiness"": 0.06, ""acousticness"": 0.417, ""instrumentalness"": 0, ""liveness"": 0.349, ""valence"": 0.815, ""tempo"": 110.015, ""type"": ""audio_features"", ""id"": ""3rKYiySCDMUKTw5kGVVhaa"", ""uri"": ""spotify:track:3rKYiySCDMUKTw5kGVVhaa"", ""track_href"": ""https://api.spotify.com/v1/tracks/3rKYiySCDMUKTw5kGVVhaa"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3rKYiySCDMUKTw5kGVVhaa"", ""duration_ms"": 190453, ""time_signature"": 4}",1668281544.858342
94,'Most Girls','Hailee Steinfeld',10GJQkjRJcZhGTLagFOC62,204400,71,"['dance pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.756, ""energy"": 0.572, ""key"": 9, ""loudness"": -7.019, ""mode"": 1, ""speechiness"": 0.0763, ""acousticness"": 0.0478, ""instrumentalness"": 0, ""liveness"": 0.0853, ""valence"": 0.417, ""tempo"": 102.986, ""type"": ""audio_features"", ""id"": ""10GJQkjRJcZhGTLagFOC62"", ""uri"": ""spotify:track:10GJQkjRJcZhGTLagFOC62"", ""track_href"": ""https://api.spotify.com/v1/tracks/10GJQkjRJcZhGTLagFOC62"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/10GJQkjRJcZhGTLagFOC62"", ""duration_ms"": 204400, ""time_signature"": 4}",1668281544.320617
93,'Good Old Days (feat. Kesha)','Macklemore',2Za1AlJNvksouPPWbXpR2X,240506,69,"['pop rap', 'seattle hip hop']",Hit Rewind,"{""danceability"": 0.712, ""energy"": 0.51, ""key"": 8, ""loudness"": -8.162, ""mode"": 1, ""speechiness"": 0.0633, ""acousticness"": 0.446, ""instrumentalness"": 2.46e-05, ""liveness"": 0.112, ""valence"": 0.268, ""tempo"": 122.964, ""type"": ""audio_features"", ""id"": ""2Za1AlJNvksouPPWbXpR2X"", ""uri"": ""spotify:track:2Za1AlJNvksouPPWbXpR2X"", ""track_href"": ""https://api.spotify.com/v1/tracks/2Za1AlJNvksouPPWbXpR2X"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2Za1AlJNvksouPPWbXpR2X"", ""duration_ms"": 240507, ""time_signature"": 4}",1668281543.798386
92,'Cool for the Summer','Demi Lovato',2zFF6jG5hQArbzcXz3KUWk,214739,64,"['dance pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.583, ""energy"": 0.61, ""key"": 5, ""loudness"": -5.639, ""mode"": 0, ""speechiness"": 0.0382, ""acousticness"": 0.00425, ""instrumentalness"": 0.000105, ""liveness"": 0.14, ""valence"": 0.336, ""tempo"": 114.06, ""type"": ""audio_features"", ""id"": ""2zFF6jG5hQArbzcXz3KUWk"", ""uri"": ""spotify:track:2zFF6jG5hQArbzcXz3KUWk"", ""track_href"": ""https://api.spotify.com/v1/tracks/2zFF6jG5hQArbzcXz3KUWk"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2zFF6jG5hQArbzcXz3KUWk"", ""duration_ms"": 214740, ""time_signature"": 4}",1668281543.280365
91,'Send My Love (To Your New Lover)','Adele',563SfWAHJs4FBZMkRN0IFN,223078,71,"['british soul', 'pop', 'pop soul', 'uk pop']",Hit Rewind,"{""danceability"": 0.688, ""energy"": 0.533, ""key"": 6, ""loudness"": -8.363, ""mode"": 0, ""speechiness"": 0.0865, ""acousticness"": 0.0355, ""instrumentalness"": 3.48e-06, ""liveness"": 0.172, ""valence"": 0.567, ""tempo"": 164.069, ""type"": ""audio_features"", ""id"": ""563SfWAHJs4FBZMkRN0IFN"", ""uri"": ""spotify:track:563SfWAHJs4FBZMkRN0IFN"", ""track_href"": ""https://api.spotify.com/v1/tracks/563SfWAHJs4FBZMkRN0IFN"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/563SfWAHJs4FBZMkRN0IFN"", ""duration_ms"": 223079, ""time_signature"": 4}",1668281542.761848
90,'Here With Me','Marshmello',5icOoE6VgqFKohjWWNp0Ac,156346,74,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",Hit Rewind,"{""danceability"": 0.791, ""energy"": 0.565, ""key"": 5, ""loudness"": -3.933, ""mode"": 0, ""speechiness"": 0.0439, ""acousticness"": 0.0623, ""instrumentalness"": 0, ""liveness"": 0.156, ""valence"": 0.181, ""tempo"": 99.961, ""type"": ""audio_features"", ""id"": ""5icOoE6VgqFKohjWWNp0Ac"", ""uri"": ""spotify:track:5icOoE6VgqFKohjWWNp0Ac"", ""track_href"": ""https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac"", ""duration_ms"": 156347, ""time_signature"": 4}",1668281542.239432
